x,f(x)one,f(x)two,f(x)three
0.132,-0.131613,-0.131608,-0.131608
0.133,-0.132604,-0.132599,-0.132599
0.134,-0.133595,-0.13359,-0.13359
0.135,-0.134586,-0.134581,-0.134581
0.136,-0.135577,-0.135572,-0.135572
0.137,-0.136567,-0.136562,-0.136562
0.138,-0.137558,-0.137553,-0.137553
0.139,-0.138548,-0.138543,-0.138543
0.14,-0.139538,-0.139533,-0.139533
0.141,-0.140528,-0.140523,-0.140523
0.142,-0.141518,-0.141513,-0.141513
0.143,-0.142508,-0.142503,-0.142503
0.144,-0.143498,-0.143492,-0.143492
0.145,-0.144487,-0.144482,-0.144482
0.146,-0.145477,-0.145471,-0.145471
0.147,-0.146466,-0.14646,-0.14646
0.148,-0.147455,-0.147449,-0.147449
0.149,-0.148444,-0.148438,-0.148438
0.15,-0.149433,-0.149427,-0.149427
0.151,-0.150421,-0.150415,-0.150415
0.152,-0.15141,-0.151404,-0.151404
0.153,-0.152398,-0.152392,-0.152392
0.154,-0.153386,-0.15338,-0.15338
0.155,-0.154374,-0.154368,-0.154368
0.156,-0.155362,-0.155356,-0.155356
0.157,-0.15635,-0.156343,-0.156343
0.158,-0.157337,-0.157331,-0.157331
0.159,-0.158325,-0.158318,-0.158318
0.16,-0.159312,-0.159305,-0.159305
0.161,-0.160299,-0.160292,-0.160292
0.162,-0.161286,-0.161279,-0.161279
0.163,-0.162273,-0.162266,-0.162266
0.164,-0.163259,-0.163252,-0.163252
0.165,-0.164246,-0.164239,-0.164239
0.166,-0.165232,-0.165225,-0.165225
0.167,-0.166218,-0.166211,-0.166211
0.168,-0.167204,-0.167197,-0.167197
0.169,-0.16819,-0.168182,-0.168182
0.17,-0.169175,-0.169168,-0.169168
0.171,-0.170161,-0.170153,-0.170153
0.172,-0.171146,-0.171138,-0.171138
0.173,-0.172131,-0.172123,-0.172123
0.174,-0.173116,-0.173108,-0.173108
0.175,-0.1741,-0.174093,-0.174093
0.176,-0.175085,-0.175077,-0.175077
0.177,-0.176069,-0.176062,-0.176061
0.178,-0.177054,-0.177046,-0.177046
0.179,-0.178038,-0.17803,-0.17803
0.18,-0.179021,-0.179013,-0.179013
0.181,-0.180005,-0.179997,-0.179997
0.182,-0.180989,-0.18098,-0.18098
0.183,-0.181972,-0.181963,-0.181963
0.184,-0.182955,-0.182947,-0.182946
0.185,-0.183938,-0.183929,-0.183929
0.186,-0.184921,-0.184912,-0.184912
0.187,-0.185903,-0.185894,-0.185894
0.188,-0.186886,-0.186877,-0.186877
0.189,-0.187868,-0.187859,-0.187859
0.19,-0.18885,-0.188841,-0.188841
0.191,-0.189832,-0.189823,-0.189822
0.192,-0.190813,-0.190804,-0.190804
0.193,-0.191795,-0.191785,-0.191785
0.194,-0.192776,-0.192767,-0.192766
0.195,-0.193757,-0.193747,-0.193747
0.196,-0.194738,-0.194728,-0.194728
0.197,-0.195719,-0.195709,-0.195709
0.198,-0.196699,-0.196689,-0.196689
0.199,-0.197679,-0.197669,-0.197669
0.2,-0.198659,-0.198649,-0.198649
0.201,-0.199639,-0.199629,-0.199629
0.202,-0.200619,-0.200609,-0.200609
0.203,-0.201598,-0.201588,-0.201588
0.204,-0.202578,-0.202567,-0.202567
0.205,-0.203557,-0.203546,-0.203546
0.206,-0.204536,-0.204525,-0.204525
0.207,-0.205514,-0.205503,-0.205503
0.208,-0.206493,-0.206482,-0.206482
0.209,-0.207471,-0.20746,-0.20746
0.21,-0.208449,-0.208438,-0.208438
0.211,-0.209427,-0.209416,-0.209415
0.212,-0.210404,-0.210393,-0.210393
0.213,-0.211382,-0.21137,-0.21137
0.214,-0.212359,-0.212347,-0.212347
0.215,-0.213336,-0.213324,-0.213324
0.216,-0.214313,-0.214301,-0.214301
0.217,-0.215289,-0.215277,-0.215277
0.218,-0.216266,-0.216254,-0.216254
0.219,-0.217242,-0.21723,-0.21723
0.22,-0.218218,-0.218205,-0.218205
0.221,-0.219193,-0.219181,-0.219181
0.222,-0.220169,-0.220156,-0.220156
0.223,-0.221144,-0.221131,-0.221131
0.224,-0.222119,-0.222106,-0.222106
0.225,-0.223094,-0.223081,-0.223081
0.226,-0.224068,-0.224055,-0.224055
0.227,-0.225043,-0.22503,-0.22503
0.228,-0.226017,-0.226004,-0.226004
0.229,-0.226991,-0.226978,-0.226977
0.23,-0.227964,-0.227951,-0.227951
0.231,-0.228938,-0.228924,-0.228924
0.232,-0.229911,-0.229897,-0.229897
0.233,-0.230884,-0.23087,-0.23087
0.234,-0.231857,-0.231843,-0.231843
0.235,-0.232829,-0.232815,-0.232815
0.236,-0.233802,-0.233788,-0.233787
0.237,-0.234774,-0.234759,-0.234759
0.238,-0.235745,-0.235731,-0.235731
0.239,-0.236717,-0.236703,-0.236703
0.24,-0.237688,-0.237674,-0.237674
0.241,-0.238659,-0.238645,-0.238645
0.242,-0.23963,-0.239616,-0.239616
0.243,-0.240601,-0.240586,-0.240586
0.244,-0.241571,-0.241556,-0.241556
0.245,-0.242541,-0.242526,-0.242526
0.246,-0.243511,-0.243496,-0.243496
0.247,-0.244481,-0.244466,-0.244466
0.248,-0.24545,-0.245435,-0.245435
0.249,-0.246419,-0.246404,-0.246404
0.25,-0.247388,-0.247373,-0.247373
0.251,-0.248357,-0.248341,-0.248341
0.252,-0.249325,-0.24931,-0.24931
0.253,-0.250294,-0.250278,-0.250278
0.254,-0.251262,-0.251245,-0.251245
0.255,-0.252229,-0.252213,-0.252213
0.256,-0.253197,-0.25318,-0.25318
0.257,-0.254164,-0.254147,-0.254147
0.258,-0.255131,-0.255114,-0.255114
0.259,-0.256097,-0.256081,-0.25608
0.26,-0.257064,-0.257047,-0.257047
0.261,-0.25803,-0.258013,-0.258013
0.262,-0.258996,-0.258979,-0.258978
0.263,-0.259961,-0.259944,-0.259944
0.264,-0.260927,-0.260909,-0.260909
0.265,-0.261892,-0.261874,-0.261874
0.266,-0.262857,-0.262839,-0.262839
0.267,-0.263821,-0.263803,-0.263803
0.268,-0.264785,-0.264768,-0.264767
0.269,-0.26575,-0.265731,-0.265731
0.27,-0.266713,-0.266695,-0.266695
0.271,-0.267677,-0.267658,-0.267658
0.272,-0.26864,-0.268622,-0.268621
0.273,-0.269603,-0.269584,-0.269584
0.274,-0.270566,-0.270547,-0.270547
0.275,-0.271528,-0.271509,-0.271509
0.276,-0.27249,-0.272471,-0.272471
0.277,-0.273452,-0.273433,-0.273433
0.278,-0.274414,-0.274394,-0.274394
0.279,-0.275375,-0.275356,-0.275356
0.28,-0.276336,-0.276317,-0.276316
0.281,-0.277297,-0.277277,-0.277277
0.282,-0.278257,-0.278238,-0.278237
0.283,-0.279218,-0.279198,-0.279198
0.284,-0.280178,-0.280157,-0.280157
0.285,-0.281137,-0.281117,-0.281117
0.286,-0.282097,-0.282076,-0.282076
0.287,-0.283056,-0.283035,-0.283035
0.288,-0.284015,-0.283994,-0.283994
0.289,-0.284973,-0.284952,-0.284952
0.29,-0.285931,-0.28591,-0.28591
0.291,-0.286889,-0.286868,-0.286868
0.292,-0.287847,-0.287826,-0.287826
0.293,-0.288804,-0.288783,-0.288783
0.294,-0.289761,-0.28974,-0.28974
0.295,-0.290718,-0.290696,-0.290696
0.296,-0.291675,-0.291653,-0.291653
0.297,-0.292631,-0.292609,-0.292609
0.298,-0.293587,-0.293565,-0.293565
0.299,-0.294543,-0.29452,-0.29452
0.3,-0.295498,-0.295475,-0.295475
0.301,-0.296453,-0.29643,-0.29643
0.302,-0.297408,-0.297385,-0.297385
0.303,-0.298362,-0.298339,-0.298339
0.304,-0.299316,-0.299293,-0.299293
0.305,-0.30027,-0.300247,-0.300247
0.306,-0.301224,-0.3012,-0.3012
0.307,-0.302177,-0.302153,-0.302153
0.308,-0.30313,-0.303106,-0.303106
0.309,-0.304082,-0.304059,-0.304059
0.31,-0.305035,-0.305011,-0.305011
0.311,-0.305987,-0.305963,-0.305963
0.312,-0.306939,-0.306914,-0.306914
0.313,-0.30789,-0.307865,-0.307865
0.314,-0.308841,-0.308816,-0.308816
0.315,-0.309792,-0.309767,-0.309767
0.316,-0.310742,-0.310717,-0.310717
0.317,-0.311693,-0.311667,-0.311667
0.318,-0.312642,-0.312617,-0.312617
0.319,-0.313592,-0.313567,-0.313566
0.32,-0.314541,-0.314516,-0.314516
0.321,-0.31549,-0.315464,-0.315464
0.322,-0.316439,-0.316413,-0.316413
0.323,-0.317387,-0.317361,-0.317361
0.324,-0.318335,-0.318309,-0.318309
0.325,-0.319283,-0.319256,-0.319256
0.326,-0.32023,-0.320203,-0.320203
0.327,-0.321177,-0.32115,-0.32115
0.328,-0.322124,-0.322097,-0.322097
0.329,-0.32307,-0.323043,-0.323043
0.33,-0.324016,-0.323989,-0.323989
0.331,-0.324962,-0.324934,-0.324934
0.332,-0.325907,-0.32588,-0.32588
0.333,-0.326852,-0.326825,-0.326825
0.334,-0.327797,-0.327769,-0.327769
0.335,-0.328741,-0.328713,-0.328713
0.336,-0.329685,-0.329657,-0.329657
0.337,-0.330629,-0.330601,-0.330601
0.338,-0.331573,-0.331544,-0.331544
0.339,-0.332516,-0.332487,-0.332487
0.34,-0.333458,-0.33343,-0.33343
0.341,-0.334401,-0.334372,-0.334372
0.342,-0.335343,-0.335314,-0.335314
0.343,-0.336285,-0.336255,-0.336255
0.344,-0.337226,-0.337197,-0.337197
0.345,-0.338167,-0.338138,-0.338137
0.346,-0.339108,-0.339078,-0.339078
0.347,-0.340048,-0.340018,-0.340018
0.348,-0.340988,-0.340958,-0.340958
0.349,-0.341928,-0.341898,-0.341898
0.35,-0.342867,-0.342837,-0.342837
0.351,-0.343806,-0.343776,-0.343776
0.352,-0.344745,-0.344714,-0.344714
0.353,-0.345684,-0.345653,-0.345652
0.354,-0.346622,-0.34659,-0.34659
0.355,-0.347559,-0.347528,-0.347528
0.356,-0.348496,-0.348465,-0.348465
0.357,-0.349433,-0.349402,-0.349402
0.358,-0.35037,-0.350338,-0.350338
0.359,-0.351306,-0.351274,-0.351274
0.36,-0.352242,-0.35221,-0.35221
0.361,-0.353178,-0.353145,-0.353145
0.362,-0.354113,-0.35408,-0.35408
0.363,-0.355048,-0.355015,-0.355015
0.364,-0.355982,-0.355949,-0.355949
0.365,-0.356916,-0.356883,-0.356883
0.366,-0.35785,-0.357817,-0.357817
0.367,-0.358784,-0.35875,-0.35875
0.368,-0.359717,-0.359683,-0.359683
0.369,-0.360649,-0.360615,-0.360615
0.37,-0.361582,-0.361548,-0.361547
0.371,-0.362514,-0.362479,-0.362479
0.372,-0.363445,-0.363411,-0.363411
0.373,-0.364376,-0.364342,-0.364342
0.374,-0.365307,-0.365272,-0.365272
0.375,-0.366238,-0.366203,-0.366203
0.376,-0.367168,-0.367133,-0.367133
0.377,-0.368098,-0.368062,-0.368062
0.378,-0.369027,-0.368992,-0.368992
0.379,-0.369956,-0.36992,-0.36992
0.38,-0.370885,-0.370849,-0.370849
0.381,-0.371813,-0.371777,-0.371777
0.382,-0.372741,-0.372705,-0.372705
0.383,-0.373669,-0.373632,-0.373632
0.384,-0.374596,-0.374559,-0.374559
0.385,-0.375523,-0.375486,-0.375486
0.386,-0.376449,-0.376412,-0.376412
0.387,-0.377375,-0.377338,-0.377338
0.388,-0.378301,-0.378263,-0.378263
0.389,-0.379226,-0.379188,-0.379188
0.39,-0.380151,-0.380113,-0.380113
0.391,-0.381075,-0.381037,-0.381037
0.392,-0.382,-0.381961,-0.381961
0.393,-0.382923,-0.382885,-0.382885
0.394,-0.383847,-0.383808,-0.383808
0.395,-0.38477,-0.384731,-0.384731
0.396,-0.385692,-0.385653,-0.385653
0.397,-0.386614,-0.386575,-0.386575
0.398,-0.387536,-0.387497,-0.387497
0.399,-0.388458,-0.388418,-0.388418
0.4,-0.389379,-0.389339,-0.389339
0.401,-0.3903,-0.39026,-0.39026
0.402,-0.39122,-0.39118,-0.39118
0.403,-0.39214,-0.392099,-0.392099
0.404,-0.393059,-0.393019,-0.393019
0.405,-0.393978,-0.393938,-0.393938
0.406,-0.394897,-0.394856,-0.394856
0.407,-0.395815,-0.395774,-0.395774
0.408,-0.396733,-0.396692,-0.396692
0.409,-0.397651,-0.397609,-0.397609
0.41,-0.398568,-0.398526,-0.398526
0.411,-0.399485,-0.399443,-0.399443
0.412,-0.400401,-0.400359,-0.400359
0.413,-0.401317,-0.401275,-0.401275
0.414,-0.402232,-0.40219,-0.40219
0.415,-0.403147,-0.403105,-0.403105
0.416,-0.404062,-0.404019,-0.404019
0.417,-0.404976,-0.404933,-0.404933
0.418,-0.40589,-0.405847,-0.405847
0.419,-0.406804,-0.40676,-0.40676
0.42,-0.407717,-0.407673,-0.407673
0.421,-0.40863,-0.408586,-0.408586
0.422,-0.409542,-0.409498,-0.409498
0.423,-0.410454,-0.41041,-0.410409
0.424,-0.411365,-0.411321,-0.411321
0.425,-0.412276,-0.412232,-0.412232
0.426,-0.413187,-0.413142,-0.413142
0.427,-0.414097,-0.414052,-0.414052
0.428,-0.415007,-0.414962,-0.414962
0.429,-0.415916,-0.415871,-0.415871
0.43,-0.416825,-0.41678,-0.416779
0.431,-0.417734,-0.417688,-0.417688
0.432,-0.418642,-0.418596,-0.418596
